P,tau2,s2,mu_ce,var_ce,se_ce,ef_ce,mu_eis,var_eis,se_eis,ef_eis,var_ratio,se_var_ratio
GMM_location_1.00,2.0,2.2,0.0,0.908426,1.2106997e-06,98.05301,0.0,0.09519143,1.3373983e-07,98.05301,0.104787216,0.001991732
GMM_location_1.00,2.0,2.225,0.0,0.89821917,1.1970966e-06,97.990616,0.0,0.10237368,1.4393022e-07,97.990616,0.11397406,0.0021599806
GMM_location_1.00,2.0,2.25,0.0,0.8882388,1.1837957e-06,97.920685,0.0,0.10986961,1.5457236e-07,97.920685,0.12369377,0.0023370064
GMM_location_1.00,2.0,2.2749999,0.0,0.8784779,1.1707864e-06,97.843704,0.0,0.11766866,1.6564962e-07,97.843704,0.13394608,0.0025227836
GMM_location_1.00,2.0,2.3,0.0,0.8689292,1.1580606e-06,97.760056,0.0,0.12576094,1.7714655e-07,97.760056,0.14473094,0.002717297
GMM_location_1.00,2.0,2.325,0.0,0.85958594,1.145608e-06,97.67017,0.0,0.13413702,1.890486e-07,97.67017,0.15604842,0.0029205307
GMM_location_1.00,2.0,2.35,0.0,0.8504415,1.133421e-06,97.574394,0.0,0.1427878,2.0134202e-07,97.574394,0.16789843,0.0031324725
GMM_location_1.00,2.0,2.375,0.0,0.84148943,1.1214904e-06,97.47311,0.0,0.15170476,2.1401368e-07,97.47311,0.18028124,0.0033531098
GMM_location_1.00,2.0,2.4,0.0,0.8327239,1.1098083e-06,97.36663,0.0,0.16087955,2.2705119e-07,97.36663,0.19319674,0.003582433
GMM_location_1.00,2.0,2.425,0.0,0.8241391,1.0983667e-06,97.25529,0.0,0.17030388,2.4044235e-07,97.25529,0.20664458,0.0038204258
GMM_location_1.00,2.0,2.4499998,0.0,0.81572956,1.0871589e-06,97.13935,0.0,0.1799705,2.541764e-07,97.13935,0.2206252,0.004067091
GMM_location_1.00,2.0,2.475,0.0,0.8074899,1.0761778e-06,97.01915,0.0,0.18987189,2.6824213e-07,97.01915,0.23513842,0.0043224134
GMM_location_1.00,2.0,2.5,0.0,0.7994149,1.065416e-06,96.89491,0.0,0.20000118,2.826297e-07,96.89491,0.25018448,0.004586392
GMM_location_1.00,2.0,2.5249999,0.0,0.7915,1.054867e-06,96.76689,0.0,0.21035121,2.9732877e-07,96.76689,0.26576275,0.0048590116
GMM_location_1.00,2.0,2.55,0.0,0.7837401,1.044525e-06,96.635345,0.0,0.22091603,3.123304e-07,96.635345,0.2818741,0.0051402794
GMM_location_1.00,2.0,2.575,0.0,0.77613103,1.0343842e-06,96.50049,0.0,0.23168889,3.276253e-07,96.50049,0.29851773,0.0054301815
GMM_location_1.00,2.0,2.6,0.0,0.7686682,1.024438e-06,96.36253,0.0,0.24266407,3.4320487e-07,96.36253,0.31569418,0.0057287174
GMM_location_1.00,2.0,2.625,0.0,0.7613476,1.0146815e-06,96.22168,0.0,0.25383562,3.5906078e-07,96.22168,0.33340305,0.0060358797
GMM_location_1.00,2.0,2.6499999,0.0,0.7541651,1.0051093e-06,96.0781,0.0,0.2651981,3.7518512e-07,96.0781,0.35164464,0.00635167
