s,a,k,h,I
2021-04-19,00-04,5,0,4931
2021-04-19,05-14,5,0,14088
2021-04-19,15-34,5,9,43893
2021-04-19,35-59,5,42,52144
2021-04-19,60-79,5,59,18126
2021-04-19,80+,5,18,4101
2021-04-19,00-04,6,1,4931
2021-04-19,05-14,6,2,14088
2021-04-19,15-34,6,5,43893
2021-04-19,35-59,6,32,52144
2021-04-19,60-79,6,54,18126
2021-04-19,80+,6,17,4101
2021-04-19,00-04,7,0,4931
2021-04-19,05-14,7,0,14088
2021-04-19,15-34,7,3,43893
2021-04-19,35-59,7,22,52144
2021-04-19,60-79,7,22,18126
2021-04-19,80+,7,9,4101
2021-04-20,00-04,0,78,4897
2021-04-20,05-14,0,68,14012
2021-04-20,15-34,0,482,42954
2021-04-20,35-59,0,1123,51125
2021-04-20,60-79,0,1572,17802
2021-04-20,80+,0,894,4066
2021-04-20,00-04,1,8,4897
2021-04-20,05-14,1,9,14012
2021-04-20,15-34,1,121,42954
2021-04-20,35-59,1,513,51125
2021-04-20,60-79,1,591,17802
2021-04-20,80+,1,233,4066
2021-04-20,00-04,2,2,4897
2021-04-20,05-14,2,0,14012
2021-04-20,15-34,2,54,42954
2021-04-20,35-59,2,270,51125
2021-04-20,60-79,2,313,17802
2021-04-20,80+,2,105,4066
2021-04-20,00-04,3,1,4897
2021-04-20,05-14,3,1,14012
2021-04-20,15-34,3,18,42954
2021-04-20,35-59,3,116,51125
2021-04-20,60-79,3,146,17802
2021-04-20,80+,3,67,4066
2021-04-20,00-04,4,0,4897
2021-04-20,05-14,4,3,14012
2021-04-20,15-34,4,15,42954
2021-04-20,35-59,4,43,51125
2021-04-20,60-79,4,71,17802
2021-04-20,80+,4,27,4066
2021-04-20,00-04,5,0,4897
2021-04-20,05-14,5,1,14012
2021-04-20,15-34,5,4,42954
2021-04-20,35-59,5,47,51125
2021-04-20,60-79,5,52,17802
2021-04-20,80+,5,22,4066
2021-04-20,00-04,6,1,4897
2021-04-20,05-14,6,2,14012
2021-04-20,15-34,6,7,42954
2021-04-20,35-59,6,38,51125
2021-04-20,60-79,6,62,17802
2021-04-20,80+,6,16,4066
2021-04-20,00-04,7,0,4897
2021-04-20,05-14,7,0,14012
2021-04-20,15-34,7,2,42954
2021-04-20,35-59,7,19,51125
2021-04-20,60-79,7,19,17802
2021-04-20,80+,7,8,4066
2021-04-21,00-04,0,76,4916
2021-04-21,05-14,0,75,14131
2021-04-21,15-34,0,483,42040
2021-04-21,35-59,0,1095,50579
2021-04-21,60-79,0,1566,17316
2021-04-21,80+,0,893,3992
2021-04-21,00-04,1,11,4916
2021-04-21,05-14,1,13,14131
2021-04-21,15-34,1,109,42040
2021-04-21,35-59,1,566,50579
2021-04-21,60-79,1,606,17316
2021-04-21,80+,1,236,3992
